Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;Gelenk 6;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S6PRRPRR1;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;0;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR1V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;0;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PUPU;0;0;0;0;1
S6PRRPRR1V3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;0;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PRRPU;0;0;0;0;1
S6PRRPRR2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;0;a4;theta4;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR2V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;0;a4;theta4;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;PUPRR;0;0;0;0;1
S6PRRPRR3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;0;a4;theta4;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR3V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;0;a4;theta4;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PRRPU;0;0;0;0;1
S6PRRPRR3V3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;0;a4;theta4;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PUPU;0;0;0;0;1
S6PRRPRR4;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;pi/2;a4;0;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR4V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;pi/2;a4;0;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PUPU;0;0;0;0;1
S6PRRPRR4V3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;pi/2;a4;0;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PRRPU;0;0;0;0;1
S6PRRPRR5;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;pi/2;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR5V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;pi/2;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;PUPRR;0;0;0;0;1
S6PRRPRR6;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;pi/2;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR6V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;pi/2;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PRRPU;0;0;0;0;1
S6PRRPRR6V3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;pi/2;a4;theta4;q4;0;R;0;0;0;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PUPU;0;0;0;0;1
S6PRRPRR7;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;P;0;0;pi/2;a4;pi/2;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR7V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;pi/2;a4;pi/2;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;0;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;PUPRR;0;0;0;0;1
S6PRRPRR8;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;pi/2;a4;pi/2;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;a6;q6;d6;0;0;0;0;1;1;1;1;1;1;1;1;1;5;;0;1;0;0;0
S6PRRPRR8V2;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;alpha3;a3;q3;d3;0;P;0;0;pi/2;a4;pi/2;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PRRPU;0;0;0;0;1
S6PRRPRR8V3;P;0;0;0;0;theta1;q1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;P;0;0;pi/2;a4;pi/2;q4;0;R;0;0;pi/2;a5;q5;d5;0;R;0;0;pi/2;0;q6;0;0;0;0;0;1;1;1;1;1;1;1;1;1;4;PUPU;0;0;0;0;1
